book,character,character_first_name
Harry Potter and the Chamber of Secrets,Penelope Clearwater,Penelope
Harry Potter and the Chamber of Secrets,Millicent Bulstrode's cat,Millicent
Harry Potter and the Chamber of Secrets,Auntie Mabel,Auntie
Harry Potter and the Chamber of Secrets,Lockhart's dwarfs,Lockhart's
Harry Potter and the Chamber of Secrets,Armando Dippet,Armando
Harry Potter and the Chamber of Secrets,Aragog,Aragog
Harry Potter and the Chamber of Secrets,Myrtle's parents,Myrtle's
Harry Potter and the Chamber of Secrets,Unidentified eleven Hogwarts Board of Governors members,Unidentified
Harry Potter and the Chamber of Secrets,Mosag,Mosag
Harry Potter and the Chamber of Secrets,Forbidden Forest Acromantula colony,Forbidden
Harry Potter and the Chamber of Secrets,Olive Hornby,Olive
Harry Potter and the Chamber of Secrets,Tom Riddle Senior,Tom
Harry Potter and the Chamber of Secrets,Merope Riddle,Merope
Harry Potter and the Chamber of Secrets,Serpent of Slytherin,Serpent
Harry Potter and the Deathly Hallows,Mr Mason,Mr
Harry Potter and the Deathly Hallows,Mrs Mason,Mrs
Harry Potter and the Deathly Hallows,Dobby,Dobby
Harry Potter and the Deathly Hallows,Mafalda Hopkirk,Mafalda
Harry Potter and the Deathly Hallows,Errol,Errol
Harry Potter and the Deathly Hallows,Perkins,Perkins
Harry Potter and the Deathly Hallows,Weasley family garden gnomes,Weasley
Harry Potter and the Deathly Hallows,Weasley family chickens,Weasley
Harry Potter and the Deathly Hallows,Celestina Warbeck,Celestina
Harry Potter and the Deathly Hallows,Gilderoy Lockhart,Gilderoy
Harry Potter and the Deathly Hallows,Father Christmas,Father
Harry Potter and the Deathly Hallows,Mundungus Fletcher,Mundungus
Harry Potter and the Deathly Hallows,Mortlake,Mortlake
Harry Potter and the Deathly Hallows,Weasley family ghoul,Weasley
Harry Potter and the Deathly Hallows,Chudley Cannons Quidditch Team,Chudley
Harry Potter and the Deathly Hallows,Martin Miggs,Martin
Harry Potter and the Deathly Hallows,Mr Borgin,Mr
Harry Potter and the Deathly Hallows,Aged witch,Aged
Harry Potter and the Deathly Hallows,Mr Granger,Mr
Harry Potter and the Deathly Hallows,Mrs Granger,Mrs
Harry Potter and the Deathly Hallows,Dr Filibuster,Dr
Harry Potter and the Deathly Hallows,Bozo,Bozo
Harry Potter and the Deathly Hallows,Manager of Flourish and Blotts,Manager
Harry Potter and the Deathly Hallows,Hetty Bayliss,Hetty
Harry Potter and the Deathly Hallows,Angus Fleet,Angus
Harry Potter and the Deathly Hallows,Justin Finch-Fletchley's mother,Justin
Harry Potter and the Deathly Hallows,Colin Creevey,Colin
Harry Potter and the Deathly Hallows,Mr Creevey,Mr
Harry Potter and the Deathly Hallows,Bandon Banshee,Bandon
Harry Potter and the Deathly Hallows,Ogden,Ogden
Harry Potter and the Deathly Hallows,Lockhart's pixies,Lockhart's
Harry Potter and the Deathly Hallows,Gladys Gudgeon,Gladys
Harry Potter and the Deathly Hallows,Veronica Smethley,Veronica
Harry Potter and the Deathly Hallows,Sir Patrick Delaney-Podmore,Sir
Harry Potter and the Deathly Hallows,Z. Nettles,Z.
Harry Potter and the Deathly Hallows,D.J. Prod,D.J.
Harry Potter and the Deathly Hallows,Care of Magical Creatures salamander,Care
Harry Potter and the Deathly Hallows,Portly ghost,Portly
Harry Potter and the Deathly Hallows,Myrtle Warren,Myrtle
Harry Potter and the Deathly Hallows,Wailing Widow,Wailing
Harry Potter and the Deathly Hallows,Ghosts unnamed,Ghosts
Harry Potter and the Deathly Hallows,Mrs Skower,Mrs
Harry Potter and the Deathly Hallows,Godric Gryffindor,Godric
Harry Potter and the Deathly Hallows,Helga Hufflepuff,Helga
Harry Potter and the Deathly Hallows,Rowena Ravenclaw,Rowena
Harry Potter and the Deathly Hallows,Salazar Slytherin,Salazar
Harry Potter and the Deathly Hallows,Transylvanian villager,Transylvanian
Harry Potter and the Deathly Hallows,Unnamed Yeti,Unnamed
Harry Potter and the Deathly Hallows,Unnamed Vampire,Unnamed
Harry Potter and the Deathly Hallows,Wagga Wagga Werewolf,Wagga
Harry Potter and the Deathly Hallows,Ernie Macmillan,Ernie
Harry Potter and the Deathly Hallows,S. Fawcett,S.
Harry Potter and the Deathly Hallows,Blood-Sucking Bugbear,Blood-Sucking
Harry Potter and the Deathly Hallows,Aurora Sinistra,Aurora
Harry Potter and the Deathly Hallows,Fawkes,Fawkes
Harry Potter and the Deathly Hallows,Penelope Clearwater,Penelope
Harry Potter and the Deathly Hallows,Millicent Bulstrode's cat,Millicent
Harry Potter and the Deathly Hallows,Auntie Mabel,Auntie
Harry Potter and the Deathly Hallows,Lockhart's dwarfs,Lockhart's
Harry Potter and the Deathly Hallows,Armando Dippet,Armando
Harry Potter and the Deathly Hallows,Aragog,Aragog
Harry Potter and the Deathly Hallows,Myrtle's parents,Myrtle's
Harry Potter and the Deathly Hallows,Unidentified eleven Hogwarts Board of Governors members,Unidentified
Harry Potter and the Deathly Hallows,Mosag,Mosag
Harry Potter and the Deathly Hallows,Forbidden Forest Acromantula colony,Forbidden
Harry Potter and the Deathly Hallows,Olive Hornby,Olive
Harry Potter and the Deathly Hallows,Tom Riddle Senior,Tom
Harry Potter and the Deathly Hallows,Merope Riddle,Merope
Harry Potter and the Deathly Hallows,Serpent of Slytherin,Serpent
Harry Potter and the Prisoner of Azkaban,Vernon Dursley,Vernon
Harry Potter and the Prisoner of Azkaban,Petunia Dursley,Petunia
Harry Potter and the Prisoner of Azkaban,Dudley Dursley,Dudley
Harry Potter and the Prisoner of Azkaban,Lily Potter,Lily
Harry Potter and the Prisoner of Azkaban,James Potter,James
Harry Potter and the Prisoner of Azkaban,Harry Potter,Harry
Harry Potter and the Prisoner of Azkaban,Violet-cloaked wizard,Violet-cloaked
Harry Potter and the Prisoner of Azkaban,Lord Voldemort,Lord
Harry Potter and the Prisoner of Azkaban,Jim McGuffin,Jim
Harry Potter and the Prisoner of Azkaban,Ted,Ted
Harry Potter and the Prisoner of Azkaban,Vernon Dursley's secretary,Vernon
Harry Potter and the Prisoner of Azkaban,Albus Dumbledore,Albus
Harry Potter and the Prisoner of Azkaban,Minerva McGonagall,Minerva
Harry Potter and the Prisoner of Azkaban,Dedalus Diggle,Dedalus
Harry Potter and the Prisoner of Azkaban,Poppy Pomfrey,Poppy
Harry Potter and the Prisoner of Azkaban,Rubeus Hagrid,Rubeus
Harry Potter and the Prisoner of Azkaban,Sirius Black,Sirius
Harry Potter and the Prisoner of Azkaban,Marge Dursley,Marge
Harry Potter and the Prisoner of Azkaban,Arabella Figg,Arabella
Harry Potter and the Prisoner of Azkaban,Tibbles,Tibbles
Harry Potter and the Prisoner of Azkaban,Snowy,Snowy
Harry Potter and the Prisoner of Azkaban,Mr Paws,Mr
Harry Potter and the Prisoner of Azkaban,Tufty,Tufty
Harry Potter and the Prisoner of Azkaban,Yvonne,Yvonne
Harry Potter and the Prisoner of Azkaban,Piers Polkiss,Piers
Harry Potter and the Prisoner of Azkaban,Piers Polkiss's mother,Piers
Harry Potter and the Prisoner of Azkaban,Keeper of the reptile house,Keeper
Harry Potter and the Prisoner of Azkaban,Zoo director,Zoo
Harry Potter and the Prisoner of Azkaban,A boa constrictor,A
Harry Potter and the Prisoner of Azkaban,A gorilla,A
Harry Potter and the Prisoner of Azkaban,Dennis,Dennis
Harry Potter and the Prisoner of Azkaban,Malcolm,Malcolm
Harry Potter and the Prisoner of Azkaban,Gordon,Gordon
Harry Potter and the Prisoner of Azkaban,Dudley's parrot,Dudley's
Harry Potter and the Prisoner of Azkaban,Dudley's tortoise,Dudley's
Harry Potter and the Prisoner of Azkaban,Owner of the Railview Hotel,Owner
Harry Potter and the Prisoner of Azkaban,Rowboat owner,Rowboat
Harry Potter and the Prisoner of Azkaban,Merlin,Merlin
Harry Potter and the Prisoner of Azkaban,Mr Evans,Mr
Harry Potter and the Prisoner of Azkaban,Mrs Evans,Mrs
Harry Potter and the Prisoner of Azkaban,McKinnon family,McKinnon
Harry Potter and the Prisoner of Azkaban,Bones family,Bones
Harry Potter and the Prisoner of Azkaban,Prewett family,Prewett
Harry Potter and the Prisoner of Azkaban,Cornelius Fudge,Cornelius
Harry Potter and the Prisoner of Azkaban,Miranda Goshawk,Miranda
Harry Potter and the Prisoner of Azkaban,Bathilda Bagshot,Bathilda
Harry Potter and the Prisoner of Azkaban,Adalbert Waffling,Adalbert
Harry Potter and the Prisoner of Azkaban,Emeric Switch,Emeric
Harry Potter and the Prisoner of Azkaban,Phyllida Spore,Phyllida
Harry Potter and the Prisoner of Azkaban,Arsenus Jigger,Arsenus
Harry Potter and the Prisoner of Azkaban,Newton Scamander,Newton
Harry Potter and the Prisoner of Azkaban,Quentin Trimble,Quentin
Harry Potter and the Prisoner of Azkaban,Tom,Tom
Harry Potter and the Prisoner of Azkaban,Doris Crockford,Doris
Harry Potter and the Prisoner of Azkaban,Quirinus Quirrell,Quirinus
Harry Potter and the Prisoner of Azkaban,Gringotts Head Goblin,Gringotts
Harry Potter and the Prisoner of Azkaban,Griphook,Griphook
Harry Potter and the Prisoner of Azkaban,Madam Malkin,Madam
Harry Potter and the Prisoner of Azkaban,Draco Malfoy,Draco
Harry Potter and the Prisoner of Azkaban,Lucius Malfoy,Lucius
Harry Potter and the Prisoner of Azkaban,Narcissa Malfoy,Narcissa
Harry Potter and the Prisoner of Azkaban,Vindictus Viridian,Vindictus
Harry Potter and the Prisoner of Azkaban,Hedwig,Hedwig
Harry Potter and the Prisoner of Azkaban,Garrick Ollivander,Garrick
Harry Potter and the Prisoner of Azkaban,King's Cross Station guard,King's
Harry Potter and the Prisoner of Azkaban,Ginny Weasley,Ginny
Harry Potter and the Prisoner of Azkaban,Molly Weasley,Molly
Harry Potter and the Prisoner of Azkaban,Percy Weasley,Percy
Harry Potter and the Prisoner of Azkaban,Fred Weasley,Fred
Harry Potter and the Prisoner of Azkaban,George Weasley,George
Harry Potter and the Prisoner of Azkaban,Ron Weasley,Ron
Harry Potter and the Prisoner of Azkaban,Neville Longbottom,Neville
Harry Potter and the Prisoner of Azkaban,Augusta Longbottom,Augusta
Harry Potter and the Prisoner of Azkaban,Lee Jordan,Lee
Harry Potter and the Prisoner of Azkaban,Lee Jordan's tarantula,Lee
Harry Potter and the Prisoner of Azkaban,Bill Weasley,Bill
Harry Potter and the Prisoner of Azkaban,Charlie Weasley,Charlie
Harry Potter and the Prisoner of Azkaban,Arthur Weasley,Arthur
Harry Potter and the Prisoner of Azkaban,Peter Pettigrew,Peter
Harry Potter and the Prisoner of Azkaban,Trolley witch,Trolley
Harry Potter and the Prisoner of Azkaban,Cornelius Agrippa,Cornelius
Harry Potter and the Prisoner of Azkaban,Claudius Ptolemy,Claudius
Harry Potter and the Prisoner of Azkaban,Gellert Grindelwald,Gellert
Harry Potter and the Prisoner of Azkaban,Nicolas Flamel,Nicolas
Harry Potter and the Prisoner of Azkaban,Morgan le Fay,Morgan
Harry Potter and the Prisoner of Azkaban,Hengist of Woodcroft,Hengist
Harry Potter and the Prisoner of Azkaban,Alberic Grunnion,Alberic
Harry Potter and the Prisoner of Azkaban,Circe,Circe
Harry Potter and the Prisoner of Azkaban,Paracelsus,Paracelsus
Harry Potter and the Prisoner of Azkaban,Cliodna,Cliodna
Harry Potter and the Prisoner of Azkaban,Bertie Bott,Bertie
Harry Potter and the Prisoner of Azkaban,Trevor,Trevor
Harry Potter and the Prisoner of Azkaban,Hermione Granger,Hermione
Harry Potter and the Prisoner of Azkaban,Vincent Crabbe,Vincent
Harry Potter and the Prisoner of Azkaban,Gregory Goyle,Gregory
Harry Potter and the Prisoner of Azkaban,Hogwarts Express conductor,Hogwarts
Harry Potter and the Prisoner of Azkaban,Hermes,Hermes
Harry Potter and the Prisoner of Azkaban,Fat Friar,Fat
Harry Potter and the Prisoner of Azkaban,Peeves,Peeves
Harry Potter and the Prisoner of Azkaban,Sorting Hat,Sorting
Harry Potter and the Prisoner of Azkaban,Hannah Abbott,Hannah
Harry Potter and the Prisoner of Azkaban,Susan Bones,Susan
Harry Potter and the Prisoner of Azkaban,Terry Boot,Terry
Harry Potter and the Prisoner of Azkaban,Mandy Brocklehurst,Mandy
Harry Potter and the Prisoner of Azkaban,Lavender Brown,Lavender
Harry Potter and the Prisoner of Azkaban,Millicent Bulstrode,Millicent
Harry Potter and the Prisoner of Azkaban,Justin Finch-Fletchley,Justin
Harry Potter and the Prisoner of Azkaban,Seamus Finnigan,Seamus
Harry Potter and the Prisoner of Azkaban,Morag MacDougal,Morag
Harry Potter and the Prisoner of Azkaban,Lily Moon,Lily
Harry Potter and the Prisoner of Azkaban,Theodore Nott,Theodore
Harry Potter and the Prisoner of Azkaban,Pansy Parkinson,Pansy
Harry Potter and the Prisoner of Azkaban,Padma Patil,Padma
Harry Potter and the Prisoner of Azkaban,Parvati Patil,Parvati
Harry Potter and the Prisoner of Azkaban,Sally-Anne Perks,Sally-Anne
Harry Potter and the Prisoner of Azkaban,Dean Thomas,Dean
Harry Potter and the Prisoner of Azkaban,Lisa Turpin,Lisa
Harry Potter and the Prisoner of Azkaban,Blaise Zabini,Blaise
Harry Potter and the Prisoner of Azkaban,Nearly-Headless Nick,Nearly-Headless
Harry Potter and the Prisoner of Azkaban,Bloody Baron,Bloody
Harry Potter and the Prisoner of Azkaban,Mr Finnigan,Mr
Harry Potter and the Prisoner of Azkaban,Mrs Finnigan,Mrs
Harry Potter and the Prisoner of Azkaban,Algie,Algie
Harry Potter and the Prisoner of Azkaban,Enid,Enid
Harry Potter and the Prisoner of Azkaban,Severus Snape,Severus
Harry Potter and the Prisoner of Azkaban,Argus Filch,Argus
Harry Potter and the Prisoner of Azkaban,Rolanda Hooch,Rolanda
Harry Potter and the Prisoner of Azkaban,Fat Lady,Fat
Harry Potter and the Prisoner of Azkaban,Mrs Norris,Mrs
Harry Potter and the Prisoner of Azkaban,Pomona Sprout,Pomona
Harry Potter and the Prisoner of Azkaban,Cuthbert Binns,Cuthbert
Harry Potter and the Prisoner of Azkaban,Emeric the Evil,Emeric
Harry Potter and the Prisoner of Azkaban,Uric the Oddball,Uric
Harry Potter and the Prisoner of Azkaban,Filius Flitwick,Filius
Harry Potter and the Prisoner of Azkaban,Fang,Fang
Harry Potter and the Prisoner of Azkaban,Oliver Wood,Oliver
Harry Potter and the Prisoner of Azkaban,Helena Ravenclaw,Helena
Harry Potter and the Prisoner of Azkaban,Draco Malfoy's eagle owl,Draco
Harry Potter and the Prisoner of Azkaban,Gregory the Smarmy,Gregory
Harry Potter and the Prisoner of Azkaban,Fluffy,Fluffy
Harry Potter and the Prisoner of Azkaban,Baruffio,Baruffio
Harry Potter and the Prisoner of Azkaban,Quirinus Quirrell's first mountain troll,Quirinus
Harry Potter and the Prisoner of Azkaban,Angelina Johnson,Angelina
Harry Potter and the Prisoner of Azkaban,Marcus Flint,Marcus
Harry Potter and the Prisoner of Azkaban,Alicia Spinnet,Alicia
Harry Potter and the Prisoner of Azkaban,Katie Bell,Katie
Harry Potter and the Prisoner of Azkaban,Miles Bletchley,Miles
Harry Potter and the Prisoner of Azkaban,Adrian Pucey,Adrian
Harry Potter and the Prisoner of Azkaban,Terence Higgs,Terence
Harry Potter and the Prisoner of Azkaban,Irma Pince,Irma
Harry Potter and the Prisoner of Azkaban,Ron's grandfather,Ron's
Harry Potter and the Prisoner of Azkaban,Harry's relatives,Harry's
Harry Potter and the Prisoner of Azkaban,Perenelle Flamel,Perenelle
Harry Potter and the Prisoner of Azkaban,Norbert,Norbert
Harry Potter and the Prisoner of Azkaban,Charlie Weasley's colleagues,Charlie
Harry Potter and the Prisoner of Azkaban,Ronan,Ronan
Harry Potter and the Prisoner of Azkaban,Bane,Bane
Harry Potter and the Prisoner of Azkaban,Firenze,Firenze
Harry Potter and the Prisoner of Azkaban,Unicorn,Unicorn
Harry Potter and the Prisoner of Azkaban,Elfric the Eager,Elfric
Harry Potter and the Prisoner of Azkaban,Hogwarts Giant Squid,Hogwarts
Harry Potter and the Prisoner of Azkaban,Quirinus Quirrell's second mountain troll,Quirinus
Harry Potter and the Prisoner of Azkaban,King's Cross Station guard (wizard),King's
