book,character,character_first_name
Breaking_Dawn,"Seattle, Washington","Seattle,"
Breaking_Dawn,Jessica Stanley,Jessica
Breaking_Dawn,Sulpicia,Sulpicia
Breaking_Dawn,Bella Swan,Bella
Breaking_Dawn,Charlie Swan,Charlie
Breaking_Dawn,The meadow,The
Breaking_Dawn,Sam Uley,Sam
Breaking_Dawn,Valentina,Valentina
Breaking_Dawn,Volturi confrontation,Volturi
Breaking_Dawn,Category:Volturi witnesses,Category:Volturi
Breaking_Dawn,Angela Weber,Angela
Breaking_Dawn,Isaac Weber,Isaac
Breaking_Dawn,Joshua Weber,Joshua
Breaking_Dawn,Mr. Weber,Mr.
Breaking_Dawn,Mrs. Weber,Mrs.
Breaking_Dawn,Eric Yorkie,Eric
Breaking_Dawn,Claire Young,Claire
Breaking_Dawn,Emily Young,Emily
